16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
16,0,16,32,16,2,16,32,16,2,16,32,16,32,16,32,16,32,32,16
16,32,16,32,16,32,32,32,16,32,16,32,32,32,32,32,16,32,32,16
16,32,32,32,16,32,16,32,16,32,32,32,16,32,16,32,16,32,32,16
16,32,16,32,16,16,16,32,16,16,16,32,16,32,16,32,16,32,32,16
16,32,16,32,16,32,16,32,16,32,16,32,16,16,16,32,32,32,32,16
16,32,16,32,32,32,16,32,32,32,16,32,16,32,16,32,16,32,32,16
16,32,16,16,16,32,16,32,16,32,16,32,32,32,16,16,16,32,32,16
16,32,32,32,16,32,16,32,16,32,16,32,16,32,16,2,16,32,32,16
16,32,16,32,16,32,32,32,16,32,32,32,16,32,32,32,16,32,32,16
16,32,16,2,16,32,16,32,16,32,16,32,16,32,16,32,16,32,1,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
