24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
8,8,8,8,8,8,8,8,8,24,24,8,8,8,8,8,8,8,8,8
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
40,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,41
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
8,8,8,8,8,8,8,8,8,24,24,8,8,8,8,8,8,8,8,8
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
